병명,정의,원인,진단,치료,진료과
통풍성 관절염(gouty arthritis),"통풍을 유발하는 요산은 '퓨린'이라는 단백질에 의해 생성됩니다. 퓨린은 음식을 통해 섭취되어 체내에서 요산이라는 찌꺼기로 대사되고, 다시 소변으로 빠져나갑니다. 이 요산이 빠져나가지 못하고 쌓이면 통풍이 생깁니다. 이 요산은 비늘처럼 날카로워 모든 장기에 침착할 수 있습니다. 요산이 관절 주변 조직에 쌓여 염증을 일으키는 것을 통풍성 관절염이라고 합니다. ","통풍성 관절염은 다음과 같은 원인에 의해 발생합니다.  ① 술, 기름진 음식, 고기 등 퓨린이 함유된 음식을 많이 섭취하여 몸 안에 요산이 축적되어 통풍성 관절염이 발생합니다.② 간과 신장의 기능이 약화되어 노폐물을 배설하는 기능이 약해지면 통풍성 관절염이 발생할 수 있습니다. 이 질환은 요산을 배출하는 신장의 기능과 깊은 관계가 있습니다. 통풍 때문에 신장 기능의 이상이 오기도 하지만, 그보다 먼저 신장에 문제가 있어 통풍이 생기는 경우가 많습니다.③ 혈액 순환과 림프 순환이 잘 되지 않는 경우, 환절기에 큰 일교차로 몸의 저항력이 떨어진 경우에 주로 발병합니다.",통풍은 혈액 검사를 통해 요산 수치가 7 이상 나올 경우 의심할 수 있습니다. 그러나 급성 통풍이면 요산 수치가 정상일 수 있습니다. 가장 정확한 진단법은 주사기로 관절액을 뽑아서 관절액 내 요산 결정체를 현미경으로 확인하는 것입니다. 증상을 관찰하고 관절 상태를 확인하기 위해 X-ray 촬영을 시행하기도 합니다.,"통풍 치료 방법은 약물 요법과 식이 요법으로 나뉩니다.  ① 약물 요법약물 요법은 통풍 발작으로 인한 급성 통풍성 관절염을 치료하고 요산을 감소시키기 위해 사용합니다. 요산 생산을 억제하는 약물, 소변으로 요산을 많이 배출시키는 약물, 부종과 통증을 경감시키고 염증을 조절하는 약물을 사용합니다. 이러한 약제로는 콜키친, 비스테로이드성 소염제, 스테로이드 호르몬제 관절 주사 등이 있습니다. 약물은 소변으로 배출되는 요산의 양, 신장의 기능, 피하 결절의 유무에 따라 달라지므로 전문가의 처방에 따라 투여합니다.  ② 식이 요법식이 요법은 요산의 재료가 되는 퓨린이 많이 함유된 식품의 섭취를 줄이는 것입니다. 또한 비만이 고요산혈증과 관련되므로 체중을 줄입니다. 그러나 식사량을 갑자기 줄이거나 굶으면 요산치가 갑작스럽게 변동하여 통풍을 악화시킬 수 있으므로 주의해야 합니다.고요산혈증의 증상이 없으면 특별한 치료가 필요하지 않습니다. 그러나 증상이 있거나, 증상이 나타나지 않더라도 신장 수치에 이상이 있거나, 고농도 요산혈증인 경우에는 반드시 지속적으로 치료해야 합니다.",류마티스내과
퇴행성 척추 장애(Degenerative spinal disorder),"우리 몸의 기둥이 되는 뼈인 척추는 우리 몸 중앙에서 척수 신경을 보호해 줍니다. 척추에서 발생하는 가장 흔한 질환은 척추관협착증입니다. 이 질환은 척추가 퇴행성으로 변화하여 척추관이 좁아지고 척추관을 지나는 척수 신경을 눌러서 발생합니다.  퇴행성 척추 질환은 허리뿐만 아니라 목에서도 발생합니다. 후종 인대 골화증은 인대가 석회화가 되면서 두꺼워져 팔이나 다리로 가는 신경을 눌러서 발생하는 질환입니다. 이로 인해 손 저림, 다리 저림이 발생합니다. 그 원인은 아직 규명되지 않았습니다. 잘 알려지지 않은 병인 만큼 제대로 진단받기도 어렵습니다. 이 때문에 후종 인대 골화증은 류마티스 관절염이나 터널 증후군으로 오진하기 쉽습니다.  나이가 들면서 퇴행성으로 발생한 협착증이나 전위증은 그 원인에 따라 통증을 유발하는 부위에 맞게 치료해야만 좋은 효과를 얻을 수 있습니다.  ",,,,정형외과
트리처 콜린스 증후군 (Treacher-Collins syndrome),"트리처 콜린스 증후군(Treacher collins syndrome)은 하악안면골형성부전증 중 하나로, 제2, 제3 새궁(first and second branchial arches)에서 유래하는 유전성 기형입니다. 1846년 톰슨(Thomson)이 최초로 보고하였고, 1900년 트리처 콜린스가 안검열 외하방 편위를 동반한 관골형성부전과 편평한 뺨을 가진 두 환자를 보고하면서 트리처 콜린스 증후군으로 명명되었습니다. 1949년 프란체스쉐티(Franceschetti)와 클라인(Klein)이 이 증후군을 발현 정도에 따라 5개로 분류하고 우성 유전된다는 것을 밝혔습니다.  트리처 콜린스 증후군은 안검열 외하방 편위, 하안검 결손, 관골 형성 부전, 관골궁 형성 부전, 상악골 형성 부전, 하악골 형성 부전, 외이 및 중이의 기형 등 다양한 안면부 기형이 나타나는 선천성 질환입니다. 발병 빈도는 2만 5,000~5만 명당 1명입니다.",트리처 콜린스 증후군은 상염색체 우성 유전됩니다. 전체 환자의 90% 이상에서 TCOF1의 돌연변이가 확인됩니다.,트리처 콜린스 증후군은 특징적인 외모와 임상 증상을 바탕으로 진단할 수 있습니다. 또 TCOF1의 유전자 검사로 90% 이상의 환자에서 돌연변이를 발견할 수 있습니다.,"트리처 콜린스 증후군 환자들은 대부분 특징적인 얼굴 형태로 인해 정신적인 위축과 사회생활 부적응을 겪습니다. 이 때문에 안면 기형 교정술을 시행합니다. 성형외과 의사, 안과, 마취과 의사, 병리학자, 언어치료사, 사회심리학자 등의 협진이 필요합니다.  ① 수술 방법수술 방법은 개개인의 기형 정도에 따라 결정합니다. 예전에는 하안검 결손, 안검열 외하방 편위 또는 소이증 등과 같은 연부 조직의 기형만 수술하였습니다. 최근에는 상악골 성형술, 하악골 성형술, 안검 성형술, 자가골 이식술을 이용한 관골 및 관골궁, 안와골 재건술 등 다양한 안면골 성형술을 시행합니다.  ② 수술 시기일반적으로 안검 결손, 안면골 형성 부전, 이개 재건 등은 조기에 수술합니다. 비교정과 상하악 부전의 교정 등은 어느 정도 성장한 후 시행하는 것이 좋습니다. 그러나 4~5세가 되면 자신의 이미지 인식 및 사회적 언어 학습 및 활동이 시작되고, 자신의 얼굴형을 인식하여 정신적 위축과 열등감이 생겨 사회생활에 적응하지 못할 수 있다는 점을 고려하여 최근에는 가능한 한 수술을 일찍 진행합니다.  기형이 있는 부분만을 수술하는 것이 아니라 전체적인 안면 윤곽을 고려하여 복합적인 수술을 시행하는 것을 원칙으로 합니다. 수술이 가능한 시기는 다양합니다. 협골 부전 교정을 주목적으로 한다면 안면 골 구조가 충분히 성숙한 5~7세가 적당합니다.","성형외과, 의학유전학센터, 소아내분비대사과, 의학유전학과"
트리코모나스증(Trichomoniasis),"트리코모나스증은 트리코모나스 바지날리스라는 원충류에 감염되어 여성의 질 속에 발생하는 질환입니다. 성교를 통해 전파되는 가장 흔한 성병 중 하나입니다. 가장 흔한 전염 경로는 성관계이지만, 손, 불결한 변기, 수건 등을 통해서 전염될 수 있습니다. 또 구강과 직장으로도 감염될 수 있습니다. ","트리코모나스증은 트리코모나스 바지날리스 같은 원충류에 감염되어 발생합니다. 트리코모나스 바지날리스는 길이가 5~15mm 정도인 짚신 모양의 원충으로, 4개의 편모를 가지고 있습니다. 물에서도 움직일 수 있어서 목욕탕, 수영장, 젖은 수건을 통해 감염되기 쉽습니다. 다른 물건의 표면에서도 살 수 있을 정도로 생명력이 강하기 때문에 성적인 접촉이 아니더라도 감염될 수 있습니다.","현미경을 통한 균 도말 검사로 균을 확인하는 것이 트리코모나스증의 가장 확실한 진단 방법입니다. 현미경으로 관찰하면 원인균이 움직이는 것을 볼 수 있기 때문에 80~90%는 진단할 수 있습니다. 그러나 병이 있더라도 검사에서 확인되지 않는 경우가 많습니다. 종종 다른 생식기 감염과 관련되므로, 다른 질환과의 감별이 필요합니다.","트리코모나스증은 성접촉에 의해 감염되므로 증상이 없더라도 관계한 당사자를 동시에 치료하는 것이 가장 중요합니다. 함께 치료하지 않을 경우 재발 가능성이 큽니다. 치료를 위해서는 항생제(metronidazole)를 투약해야 합니다. 대개 1일 2회씩 7일 정도 치료하거나, 한 번 복용하여 치료합니다.",산부인과
특발성 폐섬유화증(Idiopathic pulmonary fibrosis),특발성 폐섬유화증은 폐실질의 섬유화가 점점 진행되는 간질성 폐렴의 일종입니다. 진단 후 수년 내 사망할 위험성이 높고 예후가 좋지 않습니다. ,"특발성 폐섬유화증의 원인은 밝혀지지 않았습니다. 다만 직업적, 환경적, 유전적, 방사선 노출 등 여러 가지 원인이 지적됩니다. 그러나 정확한 원인을 알 수 없기 때문에 치료도 어렵습니다.","특발성 폐섬유화증 초기에는 단순 흉부 X-ray 검사에서 정상으로 나타날 수 있습니다. 하지만 질병이 진행되면 흉부 X-ray 검사에서 이상 소견이 확인됩니다. 간질성 폐렴을 진단하는 데는 고해상도 흉부 CT가 중요합니다. 초기 이상 소견도 발견할 수 있습니다.  흉부 CT에서 특징적인 소견이 보이면 특발성 폐섬유화증을 진단할 수 있지만, 영상 및 임상 소견으로 진단이 확실하지 않은 경우에는 기관지 내시경 및 기관지 폐포 세척 검사, 흉강경 수술을 통한 폐 조직 검사를 시행하기도 합니다. 또한 폐 기능 검사를 시행하여 질병의 중증도를 평가하고, 진행 속도를 확인합니다.","특발성 폐섬유화증 치료를 위해 항섬유화 효과가 있는 퍼페니돈(pirfenidone)과 닌테다닙(nintedanib)이라는 약제를 사용합니다. 이 약제는 질병의 진행 속도를 지연하는 효과가 있는 것으로 입증되었습니다. 현재 특발성 폐섬유화증의 치료제 개발을 위해 많은 임상 연구를 진행하고 있지만, 아직까지 이 질병을 완치할 수 있는 약물은 없습니다. 질병이 진행된 환자는 경우에 따라서 폐 이식을 고려해야 할 수 있습니다.  ",호흡기내과
티눈 및 굳은살(Corns and callosities),"티눈은 원뿔 형태의 국한성 각질 비후증입니다. 원뿔의 기저부가 피부 표면으로, 꼭지가 피부 안쪽으로 향하는 형태입니다.","티눈은  과도한 기계적 비틀림이나 마찰력이 만성적으로 작용하는 경우에 발생합니다. 이와 같은 힘이 비교적 넓은 부위에 작용하면 굳은살이 되고, 국소 부위에 집중되면 티눈이 됩니다. ","티눈은 육안으로 확인할 수 있지만, 굳은살이나 사마귀와 감별해야 합니다. 굳은살은 티눈과 달리 관통성 중심핵이 없으며 좀 더 넓게 두터워져 있습니다. 티눈과 사마귀의 차이점은 표면 각질을 깎아냄으로써 확인할 수 있습니다. 사마귀는 점상 출혈이 나타나지만 티눈은 각질핵이 나타납니다.","티눈은 마찰이나 압력이 있는 부위에 생깁니다. 이러한 원인이 제거되면 병변은 자연 소실됩니다. 우선 교정 신발 및 패드로 원인을 완화시키지만, 이 방법만으로는 완치하기 어렵습니다. 살리신산(Salicylic acid)이나 다이클로로아세트산(dichloroacetic acid)을 조심스럽게 자주 도포하면 효과가 있습니다. 연성 티눈의 경우 단순 절제술이 효과적입니다. 뼈돌출증이 있는 경우 돌출된 뼈를 제거해야 합니다. 경화 용액, 40% 살리신산 반창고 등도 사용합니다.",피부과
틱 장애(Tic),"틱은 아이들이 특별한 이유 없이 자신도 모르게 몸을 움직이거나 소리를 내는 것을 말합니다. 눈을 계속 깜박거리거나, 머리를 흔들거나 어깨를 실룩거리는 것처럼 신체의 한 부분에서 틱이 발생하는 것을 운동틱이라고 합니다. 킁킁거리는 소리, 기침 소리처럼 소리를 내는 것을 음성틱이라고 합니다. 심한 음성틱은 욕설이나 야한 이야기를 반복적으로 하는 경우도 있습니다. 틱 증상은 파도가 밀려오듯이 갑자기 심해졌다가 며칠 뒤에는 잠잠해지는 양상으로 나타납니다. 이처럼 증상의 정도에 변화가 많고, 발생하는 위치도 자주 변합니다.  틱은 학령기 아동에게 매우 흔하게 나타납니다. 전체 아동의 10~20%는 일시적으로 틱 증상을 보입니다. 틱 증상이 1개월 이상 지속되는 일과성 틱 장애는 5~15%의 아동에게서, 1년 이상 틱 증상이 지속되는 만성 틱 장애는 1%의 아동에게서 나타납니다. 운동틱과 음성틱을 모두 경험하는 것을 뚜렛병(Tourette’s Disorder)이라고 합니다. 뚜렛병 아동은 주의력 결핍 과잉 행동 장애(ADHD), 학습 장애, 강박증 등을 동시에 갖고 있는 경우도 있습니다.","틱 장애는 뇌 신경 전달 체계의 이상, 유전적인 요인, 출산 과정 중 뇌 손상이나 세균 감염과 관련된 면역 반응 이상 등과 관련이 있는 것으로 알려져 있습니다. 그 밖에도 학습 요인, 심리적 요인 등이 틱 발생 및 악화와 관련이 있습니다. 예를 들어, 가족의 일원이 틱 증상을 오해하고 창피를 주거나 벌을 주어서 증상을 제지하고자 하면 아동이 정서적으로 불안해져 증상이 악화될 수 있습니다. 그러나 심리적인 원인이나 잘못된 양육 방법이 틱 장애의 발생 원인은 아닙니다.","틱 장애는 소아청소년 정신건강의학과 전문의와의 면담, 임상적 관찰, 심리 평가 등을 통해 진단합니다. 신경과적 질환이나 상동증, 강박 행동 등과 감별 진단해야 합니다.","1. 틱 장애는 어떻게 치료하나요?현재까지는 임상적으로 문제가 되는 중등도 이상의 틱 장애 치료에는 약물 치료가 가장 효과적이라고 알려져 있습니다. 일과성 틱 장애가 아닌 만성 틱 장애, 뚜렛에 대해서는 대개 약물 치료를 시행합니다. 약물 치료 기간은 환자의 증상의 호전 정도에 따라 다릅니다. 대개 12~18개월 정도 복용한 뒤에 복용량을 줄이기도 합니다. 인지 행동 치료나 이완 요법도 도움이 될 수 있습니다.  2. 틱 장애는 나이가 들면 좋아지나요?틱 장애는 분명 만성적인 질병이지만, 전체적으로 예후는 좋은 편입니다. 음성 틱은 완전히 사라지는 경우가 많고, 근육 틱도 호전되는 경우가 많기 때문입니다. 뚜렛병의 경우 30~40%는 완전히 증상이 없어지며, 30%는 증상이 있더라도 심하지 않은 정도가 됩니다. 나머지 아동은 성인이 되어서도 증상이 지속될 수 있습니다.  3. 틱이 있는 아동청소년의 부모가 할 수 있는 것에는 무엇이 있나요?1) 틱을 다루는 가장 좋은 방법은 틱 증상을 무시하고 관심을 기울이지 않는 것입니다. 일과성 틱은 무시하는 것만으로도 저절로 없어집니다. 틱이나 뚜렛병은 뇌의 문제이기 때문에, 아동이 이러한 소리나 움직임을 고의적으로 만들어내는 것이 아니며 참을 수도 없습니다. 그러므로 아동을 나무라고 비난하거나 놀려서는 안 됩니다. 부모가 벌을 주거나 선생님이 꾸중한다고 그 아동이 틱을 조절할 수 있는 것이 아닙니다. 오히려 그 아동의 자긍심만 손상시킵니다.2) 만성 틱이나 뚜렛병 환자도 대부분 모든 분야에서 성공적인 삶을 누릴 수 있기 때문에 좌절할 필요가 없습니다. 틱 장애 아동의 부모는 자신의 아이가 틱 증상이 있더라도 여느 사람과 똑같이 성취하고 인정도 받으며 행복하게 살 수 있음을 마음에 새기고, 긍정적인 마음과 배짱, 유머, 장기적인 안목으로 미래를 바라보는 융통성 있는 사고로 아동을 대해야 합니다.  3) 틱이 지속되는 경우, 아동에게 하지 말라고 강요하는 대신, 아동이 마음을 편하게 가질 수 있도록 도와주면 틱 증상이 빨리 사라질 수 있습니다. 과도한 학업과 과외 활동을 줄여서 아동이 충분한 놀이 시간과 휴식 시간을 갖도록 도와주는 것이 좋습니다. 지나친 꾸중을 피하는 것이 좋습니다. 그러나 학교 숙제나 일상생활 관리와 같은 기본적인 활동에서 아동의 책임을 덜어주는 것은 오히려 자존감을 저하시킬 수 있으므로 좋지 않습니다. 스트레스를 이겨내는 방법을 배울 수 있도록 도와주고 많이 칭찬하여 자신감을 증진시켜 주는 것이 중요합니다.  4) 틱이 너무 빈번히 발생하는 경우, 틱이 일 년 이상 지속되는 경우, 틱이 학교 공부나 친구 관계에 지장을 초래하는 경우, 틱 증상으로 인해 관련된 근육의 통증이 있는 경우, 기침 소리, 욕설 등을 포함하는 증상이 나타나는 경우에는 의사의 도움을 구하는 것이 현명합니다. 소아정신과 의사는 자세한 의학적 평가를 통하여 틱 장애뿐 아니라 이에 동반될 수 있는 다양한 정서, 행동, 학습의 문제를 밝혀서 적절하게 조치해야 합니다.  5) 틱 장애 아동뿐만 아니라 그 아동과 함께 생활하는 다른 아이들을 위해서라도 병을 충분히 이해하는 학교 선생님의 협조가 필요합니다. 친구들이 틱 아동을 받아들이지 않고 따돌리면 아동의 사회성에 문제가 생기는 경우가 많습니다. 선생님이 교실 내에서 긍정적이고 지지적인 환경을 제공해야 합니다.","정신건강의학과, 소아정신건강의학과"
파라인플루엔자 감염증(Parainfluenza infection),"파라인플루엔자 감염증은 파라인플루엔자 바이러스로 인해 감염되는 질환입니다. 파라인플루엔자 바이러스는 파라믹소비리데과에 속하는 상하부의 호흡기 감염을 일으키는 바이러스입니다. 주로 감기와 같은 상기도 감염의 원인균이지만, 소아에게 후두염(크룹)을 유발하고, 성인에게 면역 저하를 일으키며, 환자에게 심한 폐렴을 일으킬 수 있는 질환입니다.","파라인플루엔자 감염증의 원인은 파라인플루엔자 바이러스입니다. 파라인플루엔자 감염증에 걸린 환자의 콧물, 객담 등이 호흡기를 통해 직간접적으로 전파되거나, 환자의 주변 환경 접촉을 통해서 전파됩니다. ","파라인플루엔자 감염증의 진단을 위해서는 상기도 감염을 일으키는 바이러스 종류를 감별해야 합니다. 기도 분비물, 후두 면봉법, 비인두 세척액에서 바이러스를 발견하여 정확하게 진단합니다. 바이러스는 세포 배양 검사나 유전자를 이용한 PCR 검사에서 확인할 수 있습니다.  ","파라인플루엔자 감염증의 치료는 이 질환이 일으킨 증상에 따라 달라집니다. 소아에게 흔히 발생하는 후두염이 주요 원인이기 때문에, 입원 치료가 필요한 경우도 있습니다. 에피네피린 연무 치료(네불라이저)와 스테로이드제를 사용하기도 합니다. 부비강염, 중이염, 중복 감염된 세균성 기관지염과 같은 합병증이 발생하면 적당한 항생제를 투여해서 치료합니다.",감염내과
파라티푸스(Paratyphoid fever),"파라티푸스는 살모넬라균(Salmonella paratyphi)에 감염되어 발생하는 소화기계 급성 전염병입니다. 사계절에 모두 발생할 수 있지만, 주로 여름과 가을에 유행합니다. 파라티푸스에 감염되면 전신 감염증, 위장염 등 장티푸스와 비슷한 증상이 나타납니다. 파라티푸스는 잠복기를 거쳐 발열과 발진, 두통, 설사 등 증상이 나타납니다. 전염성이 있으므로 유행에 주의해야 합니다. 파라티푸스는 우리나라 법정감염병의 제2급감염병으로 분류됩니다.",파라티푸스균은 해당 균에 감염된 환자나 보균자의 대변 혹은 소변과 함께 배출되어 다른 사람에게 전파됩니다. 오염된 음식이나 물에 의해 전파되기도 합니다.,"파라티푸스는 혈액, 대변, 소변을 활용하여 균을 배양, 확인하여 진단합니다.","파라티푸스는 수액을 투여하여 치료합니다. 증세가 심하지 않으면 시간이 지나면 자연적으로 나아집니다. 증세가 심하면 항생제를 투여하여 치료합니다. 구토, 복통, 설사, 급성 위장염 증상이 심한 경우에는 식중독에 준하여 치료합니다. 환자나 보균자는 격리합니다. 환자가 있던 곳이나 화장실, 환자가 사용한 물품 등은 소독하여 사용해야 합니다.",
파라핀종(Paraffinoma),파라핀종은 장기간에 걸쳐 지속적으로 파라핀에 자극을 받아 발생하는 만성 육아종입니다. 파라핀에 대한 과도한 이물 반응과 섬유증을 말합니다.,"파라핀종의 원인은 미용적인 목적으로 얼굴, 유방, 성기와 같은 곳에 파라핀 등의 이물질을 주입하는 것입니다.",,파라핀종은 발견하는 즉시 제거하는 것이 가장 좋습니다. 시간이 경과하면 파라핀의 조직 내 침투가 깊어지고 조직 괴사가 심해져 제거하기가 쉽지 않습니다. 따라서 조직 속에 침투한 이물질을 전부 제거해야 합니다. 파라핀종이 조금이라도 남아 있으면 다시 합병증이 후유증을 유발합니다. 경우에 따라 수술 후 피부 이식이 필요할 수 있습니다.,성형외과
파브리병(Fabry disease),"파브리병은 리소좀이라는 세포 내 소기관에서 특정한 당지질 대사에 필요한 효소가 결핍되어 발생하는 리소좀 저장 질환 중 하나입니다. X염색체 관련 열성 유전되는 희귀한 유전성 대사 질환입니다.  파브리병은 1898년 독일의 존 파브리(Johann Fabry)와 영국의 윌리암스 앤더슨(Williams Anderson)이라는 두 피부과 의사가 각각 파브리병 증상을 보이는 환자를 처음으로 보고함으로써 알려졌습니다. 이로 인해 앤더슨-파브리병으로 부르기도 합니다. 발생 빈도는 약 12만 명당 1명꼴이며, 인종 및 민족적 배경의 차이는 없습니다.  파브리병은 지금까지 알려진 40여 가지 이상의 유전성 리소좀 저장 질환 중의 하나입니다. 파브리병은 리소좀에 있는 가수분해 효소인 α-갈락토시다아제(α-galactosidase A(α-GAL, α-gal A)) 활성 결여 및 부족으로 인해 혈관벽에서 글라보오실세라마이드(globotriaosylceramide(GL-3))와 같은 당지질(글리코스핑고리피드, glycosphingolipids)이 진행성으로 축적되어 조직과 기관의 기능을 손상시키는 질환입니다.  파브리병의 증상은 매우 다양합니다. 일반적으로 전형성 파브리병(classical type)에서는 α-갈락토시다아제(α-gal A) 효소 활성이 전혀 없습니다. 유년 시절이나 청년기에 사지 통증 및 이상 감각, 혈관각화종, 심통증, 발한감소증 등의 증상이 나타납니다. 그러나 이 증상은 자주 오진되고, 그 당시 잊히거나 무시됩니다. 파브리병은 병이 진전되어 기관의 기능 장애나 기관 파괴가 된 성인기에 진단됩니다. 대부분 신장 질환이나 심장 질환, 뇌혈관 질환으로 인해 40~50대에 사망합니다.  비정형성(Atypical type)의 경우에는 정상인에 비해 α-갈락토시다아제(α-gal A)의 활성이 감소되어 있으나 전형성과 같은 심한 증상은 발견되지 않습니다. 가벼운 단백뇨증, 심장비대증, 심근경색 등의 증상이 나타납니다. 어느 정도 나이가 들어서 증상이 발현됩니다. 생존 연령은 증상 발현 연령과 증상의 경중에 따라 다양합니다.  정상 유전자와 돌연변이 유전자가 있는 여성 이형접합자(heterozygote)의 경우, 증상이 거의 없거나 손발에 약간의 통증을 느끼는 경미한 증상만 나타납니다. 효소는 정상인의 50% 정도 활성화됩니다. 일부 여성 이형접합자는 효소 활성이 매우 떨어져서 증상이 심하게 나타나기도 합니다.","인체에 필요한 대사 산물 중 글로보트리아오실세라마이드는 3개의 당과 세라마이드(ceramide)라고 불리는 한 개의 지질로 이루어져 있습니다. 체내 대부분의 세포에서 발견됩니다. 정상적으로 글로보트리아오실세라마이드는 α-갈락토시다아제라는 효소에 의해 락토실세라마이드(lactosylceramide)로 분해됩니다. α-갈락토시다아제는 생성된 지 오래된 적혈구의 세포막을 분해하는 효소 중 하나입니다.  하지만 파브리병 환자의 경우 이 효소가 없거나 효소가 완전한 기능을 발휘하지 못하기 때문에 인체 내 다양한 부위에 글로보트리아오실세라마이드가 진행성으로 축적됩니다. 파브리병 환자는 글로보트리아오실세라마이드가 혈관 벽에 비정상적으로 축적됩니다. 이로 인해 시간이 지나면서 혈관 벽의 통로를 좁게 하여 혈류와 영양 공급을 감소시킵니다. 이러한 과정은 인체 내 모든 혈관에 적용됩니다. 특히 피부, 신장, 심장, 신경계의 미세한 혈관에 끼칩니다.","파브리병은 특징적인 임상 증상 및 임상 검사 소견을 바탕으로 진단합니다. 가족력을 통해 진단할 수 있습니다. 즉, 집안 남성 중에 이른 시기에 신장 질환, 조기 뇌졸중, 조기 심질환 등을 겪은 사람이 있는 경우를 파악합니다. 백혈구, 혈장, 피부 조직의 섬유아 세포에서 α-갈락토시다아제 효소의 활성을 측정하여 확진할 수 있습니다.  1. 분자유전학적 진단GLA 유전자에 대한 돌연변이를 발견하여 유전적으로 진단할 수 있습니다.  2. 산전 진단태아가 남아인 경우는 융모막 생검 및 양수 천자를 통해 α-갈락토시다아제효소의 활성을 측정하거나 유전자 분석을 할 수 있습니다. 태아가 여아이고 가족 돌연변이가 있다면 산전에 보인자 유무를 확인할 수 있습니다.","파브리병의 치료는 다음과 같이 진행합니다.  1. 통증 경감통증의 예방과 감소를 위해 항경련제, 진통제, 저용량의 마취성 진통제를 투약합니다. 통증을 유발할 수 있는 스트레스 및 온도 변화, 과로, 운동 등을 피합니다.  2. 혈관각화종혈관각화종은 레이저로 치료할 수 있습니다. 3. 위장관 증상저지방 식이를 시행하고, 식전 소화보조제(pancrelipase) 및 제토제(metoclopramide)를 투여하여 증상을 호전시킬 수 있습니다.  4. 신장 합병증저염 식이, 저단백 식이, 신장 투석, 신장 이식을 시행합니다.  5. 심장 합병증파브리병으로 인한 심질환은 원인 및 경과의 측면에서 일반적인 심질환과 다릅니다. 그러나 치료 방법은 동일합니다.  6. 뇌혈관 합병증영구적 뇌손상을 예방하기 위해 항응고제, 항혈소판제를 투여합니다.  7. 효소 대체 요법대증 요법으로는 다른 장기에서 진행되는 파브리병을 막을 수 없습니다. 이에 근본적인 치료 방법으로 부족한 효소를 보충하거나 대체하는 방법이 계속 연구되어 왔습니다. 최근 임상 실험을 거쳐 전세계적으로 사용하고 있습니다.  8. 유전자 치료아직까지 파브리병에 대한 유전자 치료를 사람에게 적용한 적은 없습니다. 초기 단계의 임상 실험이 이루어졌으며, 영구적인 치료 방법을 모색하기 위한 연구가 진행되고 있습니다.","의학유전학센터, 소아내분비대사과, 의학유전학과"
파상풍(Tetanus),"파상풍은 상처에 침입한 균이 생성하는 독소가 사람의 신경에 이상을 유발하여 근육 경련, 호흡 마비 등을 일으키는 질환입니다. 유동성의, 캡슐에 싸여 있지 않은 혐기성 그람 양성 간균인 클로스트리듐(Clostridium tetani)이라는 원인균에 의해 발생합니다. 파상풍은 적극적인 예방을 바탕으로 선진국에서는 드물게 발생하고 있습니다. 우리나라에서는 전국적으로 연간 약 10~20건 정도가 보고됩니다.","파상풍을 일으키는 박테리아는 전 세계적으로 흙에 존재하며, 동물이나 사람의 대변에서 발견되기도 합니다. 파상풍은 토양이나 분변에 있는 파상풍균이 피부나 점막의 상처로 들어가서 발생합니다. 일반적으로 녹슨 못에 찔리거나 동물에 물리면 감염될 수 있습니다. 넘어져서 상처가 났을 때, 피어싱이나 문신을 했을 때, 곤충에 쏘였을 때 감염될 수 있습니다. 신생아 파상풍은 출생 시 소독하지 않은 기구로 탯줄을 절단하거나 배꼽을 비위생적으로 처치한 경우에 발생합니다.","파상풍은 임상 증상을 살펴보고 예방 접종 여부를 확인하여 진단합니다. 환자들은 대부분 예방접종을 부적절하게 했거나 하지 않은 상태입니다. 파상풍에 대한 적절한 임상병리적인 검사는 없습니다. 상처의 배양도 별 효과가 없습니다. 파상풍이 아닌 환자에게서도 양성이 나올 수 있으며, 파상풍인 환자에게도 배양율도 높지 않아 임상적 의미가 부족합니다. ",파상풍 환자에게 호흡 곤란이 생기면 중환자실 치료를 해야 합니다. 호흡 곤란이 일어나면 신경근 차단제를 투여하고 즉각 기도 삽관을 해야 합니다. 이때 기도 확보를 위한 가장 좋은 방법은 기관 절개술입니다. 반사적인 경직을 예방하기 위해서는 환경적인 자극을 제거해야 합니다. 상처 부위의 변연 절제술도 필요합니다.,감염내과
