파일명,유사도(%),음성 인식 텍스트,정답 텍스트
PA_0002-178-01-03-M-07-A.wav,85.71,지금 피나는이 손가락이,지금 피 나는 이 손가락이요.
PA_0002-179-01-03-M-07-A.wav,91.43,아랫배가 계속 찌듯이 아프네요,아랫배가 계속 찌르 듯이 아프네요.
PA_0002-180-01-03-M-07-A.wav,70.0,내가 시아 조가 하면 하길 꺼려 해요,애가 쉬 하자고 하면 하길 꺼려해요.
PA_0002-181-01-03-M-07-A.wav,97.87,다 아픈데 특히 허리가 제일 심하게 아파요,다 아픈데 특히 허리가 제일 심하게 아파요.
PA_0002-182-01-03-M-07-A.wav,93.33,위염이 있어요,위염이 있어요.
PA_0002-183-01-03-M-07-A.wav,95.24,이유식도 먹여서 그런지 가끔 알갱이가 보이긴 하는데 전반적으로 물도 같아요,이유식도 먹여서 그런지 가끔 알갱이가 보이긴 하는데 전반적으로 물 토 같아요.
PA_0002-184-01-03-M-07-A.wav,93.94,발톱이 곱게 자라지 않고 살을 파고 들어서 아파서 찾아왔어요,발톱이 곧게 자라지 않고 살을 파고들어서 아파서 찾아왔어요.
PA_0002-185-01-03-M-07-A.wav,96.77,밑에 있는 것 중에 가운데요,밑에 있는 것 중에 가운데요.
PA_0002-186-01-03-M-07-A.wav,97.14,고양이한테 맞아서 상처가 났어요,고양이한테 맞아서 상처가 났어요.
PA_0002-187-01-03-M-07-A.wav,86.96,계단에서 골랐는데 입에서 피가 많이 났어요,계단에서 굴렀는데 입에서 피가 많이났어요.
PA_0002-188-01-03-M-07-A.wav,91.43,한 달째 기침이 멈추질 않아요 검사해 보자고 하셔서 입원했어요,한 달째 기침이 멈추지를 않아요. 검사해보자고 하셔서 입원했어요.
PA_0002-189-01-03-M-07-A.wav,86.96,아마도 왼쪽 일 거예요,아마도 왼쪽일거예요.
PA_0002-190-01-03-M-07-A.wav,81.08,아무래도 큰게 더딘 것 같아서요,아무래도 크는 게 더딘 거 같아서요.
PA_0002-191-01-03-M-07-A.wav,82.35,열이 많이나요 지금 평소 때보다 2 3도는 높은 상태예요,애가 열이 많이 나요. 지금 평소 때보다 이~삼도는 높은 상태예요.
PA_0002-192-01-03-M-07-A.wav,85.71,병에 담아 놓은 낚시를 모르고 마셨어요,병에 담아놓은 락스를 모르고 마셨어요.
PA_0002-193-01-03-M-07-A.wav,92.5,화장실에서 볼일 보고 나오다가 미끄러지면서 다리를 변기통에 부딪혔어요,엊그제 화장실에서 볼일보고 나오다가 미끄러지면서 다리를 변기통에 부딪혔어요.
PA_0002-194-01-03-M-07-A.wav,98.18,뭘 먹으면 소화가 안 돼서 병원 왔다가 입원했어요,뭘 먹으면 소화가 안 돼서 병원 왔다가 입원했어요.
PA_0002-195-01-03-M-07-A.wav,88.24,유난히 더 아팠던 거 같아요,네. 유난히 더 아팠던 거 같아요.
PA_0002-196-01-03-M-07-A.wav,81.36,소변을 너도 마렵고 누구나 써도 잔류가 남고 찝찝해요,소변을 눠도 마렵고 누고 나서도 잔뇨가 남고 찝찝해요.
PA_0002-197-01-03-M-07-A.wav,88.89,열이 좀 많이 나는데 간 수치가 높다고 해서 전화 안 했어요,열이 좀 많이 나는데 간수치가 높다고 해서 전원했어요.
PA_0002-198-01-03-M-07-A.wav,95.35,무거운 물건을 집으려고 하다가 확 들었는데 팔이 너무 아파서 물건을 놓쳤네요,무거운 물건을 집으려고 하다가 확 들었는데 팔이 너무 아파서 물건을 놓쳤거든요.
PA_0002-199-01-03-M-07-A.wav,91.67,네 움직일 순 있어요,네. 움직일 순 있어요.
PA_0002-200-01-03-M-07-A.wav,80.77,숨도 못 쉬게 꼭 배가 당기면서 뜨끈한 통증이,숨도 못 쉬겠고 배가 당기면서 뜨끔한 통증이에요.
PA_0002-201-01-03-M-07-A.wav,90.57,대변 보고 물 내리는데 보니까 피가 한 건 했어요,대변 보고 물 내리는데 보니까 피가 흥건했어요.
PA_0002-202-01-03-M-07-A.wav,60.0,쌍코피,쌍코피입니다.
PA_0002-203-01-03-M-07-A.wav,80.0,정맥류 아닌가요,식도 정맥류 아닌가요?
PA_0002-204-01-03-M-07-A.wav,98.21,집에 일이 좀 있었거든요 그것 때문에 좀 놀라서인지 그 이후로 가슴이 막 콩닥콩닥 뛰고 막 불안해요,집에 일이 좀 있었거든요. 그것 때문에 좀 놀라서인지 그 이후로 가슴이 막 콩닥콩닥 뛰고 막 불안해요.
PA_0002-205-01-03-M-07-A.wav,84.44,기침에 입맛도 없고 체중도 줄었어요,"가래, 기침에 입맛도 없고 체중도 줄었어요."
PA_0002-206-01-03-M-07-A.wav,88.89,오른쪽에서 윗니,오른쪽에서 윗니요.
PA_0002-207-01-03-M-07-A.wav,84.21,양쪽 다 부었어요,양 쪽 다부었어요.
PA_0002-208-01-03-M-07-A.wav,84.62,기흥이란 것밖엔 몰라요,기흉이란 것 밖엔 몰라요.
PA_0002-209-01-03-M-07-A.wav,95.65,집사람이 죽으려고 약을 잔뜩 털어 먹었어요,집사람이 죽으려고 약을 잔뜩 털어먹었어요.
PA_0002-210-01-03-M-07-A.wav,20.0,[음성 인식 실패: 이해할 수 없는 음성],설사 라기보단 묽은 변을 봤죠.
PA_0002-211-01-03-M-07-A.wav,94.74,맘마를 안 먹네요,맘마를 안 먹네요.
PA_0002-212-01-03-M-07-A.wav,75.0,대사 포진 이유 너무 괴로워요,대상포진이요. 너무 괴로워요.
PA_0002-213-01-03-M-07-A.wav,98.55,오른쪽 팔 다리에 힘을 주어도 힘이 빠지는 느낌이 자꾸 들어요,오른쪽 팔 다리에 힘을 주어도 힘이 빠지는 느낌이 자꾸 들어요.
PA_0002-214-01-03-M-07-A.wav,88.89,지금은 안 됩니다,지금은 안됩니다.
PA_0002-215-01-03-M-07-A.wav,94.44,애가 밤새 배를 부여 잡고 우는데 아무래도 배가 아픈 것 같습니다,애가 밤새 배를 부여잡고 우는데 아무래도 배가 아픈 거 같습니다.
PA_0002-216-01-03-M-07-A.wav,98.31,저녁 먹고 난 이후로 갑자기 배가 너무 아파서 왔어요,저녁 먹고 난 이후로 갑자기 배가 너무 아파서 왔어요.
PA_0002-217-01-03-M-07-A.wav,96.0,두꺼비집이 갑자기 내려가서 고치다 감전 됐어요,두꺼비집이 갑자기 내려가서 고치다 감전됐어요.
PA_0002-218-01-03-M-07-A.wav,61.54,안 멈춰요,열이 안멈춰요.
PA_0002-219-01-03-M-07-A.wav,98.04,명치 부근에 불이 붙은 것 마냥 뜨겁고 쓰려요,명치 부근에 불이 붙은 것 마냥 뜨겁고 쓰려요.
PA_0002-220-01-03-M-07-A.wav,96.3,허리도 아프고 무릎도 아프고 골반 쪽도 다 아파요,허리도 아프고 무릎도 아프고 골반쪽도 다 아파요.
PA_0002-221-01-03-M-07-A.wav,42.86,혹시 뒤쪽,허벅지 뒤쪽에요.
PA_0002-222-01-03-M-07-A.wav,55.17,밍키넷 미카엘 넘어졌어요,눈 길에 미끄러져 넘어졌어요.
PA_0002-223-01-03-M-07-A.wav,78.79,아침부터 목이 아파서 왔어요,어제 쯤부터 목이 아파서 왔어요.
PA_0002-224-01-03-M-07-A.wav,83.33,슈퍼 올라온 분의 가려움증이 너무 심해서요,수포 올라온 부분에 가려움증이 너무 심해서요.
PA_0002-225-01-03-M-07-A.wav,91.67,벌에 쏘인 꽃이 부풀어 오르면서 간지러워서,벌에 쏘인 곳이 부풀어 오르면서 간지러워서요.
PA_0002-226-01-03-M-07-A.wav,96.77,얼마 전에 일을 하다가 오른쪽 어깨에서 톡 소리가 났는데 그 이후로 어깨가 뻐근해요,얼마 전에 일을 하다가 오른쪽 어깨에서 툭 소리가 났는데 그 이후로 어깨가 뻐근해요.
PA_0002-227-01-03-M-07-A.wav,88.1,물리적인 충격이라 지금 택배 상하차 일을 하고 있어서 그런 거 같아요,"물리적인 충격이라면, 제가 지금 택배 상하차 일을 하고 있어서 그런 것 같아요."
PA_0002-228-01-03-M-07-A.wav,82.35,찬물 마시니깐이가 너무 싫어요,찬물 마시니깐 이가 너무 시려요.
PA_0002-229-01-03-M-07-A.wav,88.37,친구들이랑 농구하다가 다리를 삐끗했어요,친구들이랑 농구하다가 다리를 삐끗해서요.
PA_0002-230-01-03-M-07-A.wav,94.74,오늘 외래 진료 있는 날이라 왔어요,오늘 외래진료 있는 날이라 왔어요.
PA_0002-231-01-03-M-07-A.wav,89.47,열이 나거나 찌른 느낌은 없었어요,열이 나거나 찌르는 느낌은 없었어요.
PA_0002-232-01-03-M-07-A.wav,81.82,짐 가래가 심합니다,기침 가래가 심합니다.
PA_0002-233-01-03-M-07-A.wav,88.24,얘기만 들어서 잘 모르겠어요,네. 얘기만 들어서 잘 모르겠어요.
PA_0002-234-01-03-M-07-A.wav,97.3,혀를 잘못 깨물어서 통증이 심해요,혀를 잘못 깨물어서 통증이 심해요.
PA_0002-235-01-03-M-07-A.wav,91.89,만성 질환 같은게 있었는지 몰랐는데,만성질환같은게 있었는지 몰랐는데.
PA_0002-236-01-03-M-07-A.wav,87.5,손목을 유리 조각으로 부었어요,손목을 유리조각으로 그었어요.
PA_0002-237-01-03-M-07-A.wav,96.97,뛰다가 헛디뎌서 발을 삐었어요,뛰다가 헛디뎌서 발을 삐었어요.
PA_0002-238-01-03-M-07-A.wav,95.77,그냥서 있을 땐 괜찮은데 걷기만 하면 오른쪽 무릎이 찌릿찌릿해요,그냥 서있을 땐 괜찮은데 걷기만 하면 오른쪽 무릎이 찌릿찌릿해요.
PA_0002-239-01-03-M-07-A.wav,96.97,아직은 열감은 없는 것 같아요,아직은 열감은 없는 것 같아요.
PA_0002-240-01-03-M-07-A.wav,96.77,눈꺼풀이 파열된 것 같습니다,눈꺼풀이 파열된 것 같습니다.
PA_0002-241-01-03-M-07-A.wav,95.65,그냥 양쪽 다 아파요,그냥 양쪽 다 아파요.
PA_0002-242-01-03-M-07-A.wav,83.33,아니에요 안 잃었습니다,아니요. 안잃었습니다.
PA_0002-243-01-03-M-07-A.wav,94.74,오른쪽 팔 다리랑 오른쪽 얼굴 도요,오른쪽 팔 다리랑 오른쪽 얼굴도요.
PA_0002-244-01-03-M-07-A.wav,96.77,키우던 뱀한테 손을 물렸어요,키우던 뱀한테 손을 물렸어요.
PA_0002-245-01-03-M-07-A.wav,86.96,발이 꿈쩍도 안 해요,팔이 꿈쩍도 안 해요.
PA_0002-246-01-03-M-07-A.wav,86.96,오늘 운동하다가 덤벨이 엉덩이로 떨어져서요,근력운동하다가 덤벨이 엉덩이로 떨어져서요.
PA_0002-247-01-03-M-07-A.wav,87.5,아무래도 맹장염 거 같아서요,아무래도 맹장염인 것 같아서요.
PA_0002-248-01-03-M-07-A.wav,86.0,네가 심한지 대변을 못 논지 오래된 것 같아요 아마 3일 정도 아무것도 누진 못했습니다,변비가 심한지 대변을 못눈지 오래 된 것 같아요. 아마 삼일 정도 아무 것도 누지 못했습니다.
PA_0002-249-01-03-M-07-A.wav,93.46,그런게 아니라 우리 아기가 키도 평균보다 더 크고 빨리 자라는 거 같아서 검사 한번 받으려고요,다른 게 아니라 우리 아기가 키도 평균보다 더 크고 빨리 자라는 거 같아서 검사 한 번 받으려고요.
PA_0002-250-01-03-M-07-A.wav,94.74,아이 몸에서 평소에 보지 못했던게 느껴져서 왔어요,아이 몸에서 평소에 보지 못 했던 게 느껴져서 왔어요.
PA_0002-251-01-03-M-07-A.wav,95.05,인후통이 미열이 있는데 코로나인지 감기인지 모르겠는데 감기 같아서 일단 병원으로 왔어요,"인후통이랑 미열이 있는데 코로나인지 감기인지 모르겠는데, 감기 같아서 일단 병원으로 왔어요."
PA_0002-252-01-03-M-07-A.wav,98.04,가슴이 답답하고 속이 꽉 막힌 것 같은게 체한 건지 다른 이상이 있는 건지 궁금해서 왔어요,가슴이 답답하고 속이 꽉 막힌 것 같은 게 체한 건지 다른 이상이 있는 건지 궁금해서 왔어요.
PA_0002-253-01-03-M-07-A.wav,93.65,두통이 멈추지 않고 이상하게 먹으면 울렁거려서 토하고 반복해서 찾아오게 되었습니다 가장 불편한 점은 두 팀입니다,두통이 멈추지 않고 이상하게 먹으면 울렁 거려서 토하고 반복되서 찾아오게 되었습니다. 가장 불편한 점은 두통입니다.
PA_0002-254-01-03-M-07-A.wav,96.77,등이랑 엉덩이 있는 부분이요,등이랑 엉덩이 있는 부분이요.
PA_0002-255-01-03-M-07-A.wav,94.34,사타구니 부근으로 염증이 다시 재발한 거 같아요,사타구니 부근으로 염증이 다시 재발한 것 같아요.
PA_0002-256-01-03-M-07-A.wav,76.19,웬 발뒤꿈치 쪽이요,왼발 뒤꿈치 쪽이요.
PA_0002-257-01-03-M-07-A.wav,72.73,장인이 더부룩한 같은 느낌이고요 소개 가스가 12,000 느낌이에요,"장이 더부룩한 것 같은 느낌이고요, 속에 가스가 많이 찬 느낌이에요."
PA_0002-258-01-03-M-07-A.wav,97.14,너무 어지러워서 죽을 것 같아요,너무 어지러워서 죽을 것 같아요.
PA_0002-259-01-03-M-07-A.wav,11.43,[음성 인식 실패: 이해할 수 없는 음성],중형차였던 것 같아요.
PA_0002-260-01-03-M-07-A.wav,88.24,머리가 아플 때 눈이 흐릿했다,머리가 아플 때 눈이 흐릿했어요.
PA_0002-261-01-03-M-07-A.wav,93.62,심리적으로 쫓기고 있는 것 같아요 진정도 안 되고 심장도 빨리 뛰고 목도 아픕니다,"심리적으로 쫓기고 있는 것 같아요. 진정도 안되고 심장도 빨리 뛰고, 목도 아픕니다."
PA_0002-262-01-03-M-07-A.wav,85.71,3일 이상 된 것 같아요,삼 일 이상 된 것 같아요.
PA_0002-263-01-03-M-07-A.wav,97.3,목구멍에서 출혈이 있는 것 같아요,목구멍에서 출혈이 있는 것 같아요.
PA_0002-265-01-03-M-07-A.wav,94.74,떨어지진 않았었는데 앞사람 피하다가 오른쪽으로 떨어지면서 팔로 지탱했다 하더라고요,"떨어지진 않았었는데, 앞 사람 피하다가 오른쪽으로 떨어지면서 팔로 지탱했다 하더라고요."
PA_0002-266-01-03-M-07-A.wav,96.91,이틀 전에 자려고 누웠는데 낮엔 괜찮았는데 밤에 갑자기 아프더라고요 따끔 따끔 아팠어요,이틀 전에 자려고 누웠는데 낮엔 괜찮았는데 밤에 갑자기 아프더라고요. 따끔따끔 아팠어요.
PA_0002-267-01-03-M-07-A.wav,66.67,부분이요,이쪽 부분이요.
PA_0002-268-01-03-M-07-A.wav,80.85,임신 36주 차인데 갑자기 하혈이 나와요,임신 삼십육 주차 인데 갑자기 하혈이 나와요.
PA_0002-269-01-03-M-07-A.wav,54.55,목 아니요,목 안이요.
PA_0002-270-01-03-M-07-A.wav,96.97,왼쪽 세 번째 손가락 부분이요,왼쪽 세 번째 손가락 부분이요.
PA_0002-271-01-03-M-07-A.wav,96.55,깨어나질 않아요 기절했는데,깨어나질 않아요 기절했는데.
PA_0002-272-01-03-M-07-A.wav,82.35,오른쪽 눈이에요,오르쪽 눈이에요.
PA_0002-273-01-03-M-07-A.wav,87.8,노래에 비해 발달이 빠른 것 같아서요,또래에 비해 발달이 빠른 거 같아서요.
PA_0002-275-01-03-M-07-A.wav,92.31,아반떼였던 걸로 기억해요,아반떼였던걸로 기억해요.
PA_0002-276-01-03-M-07-A.wav,60.87,파리 되어서 왔습니다,팔이 데여서 왔습니다.
PA_0002-277-01-03-M-07-A.wav,64.29,플라스틱 파트를 사귀었어요,플라스틱 파편을 삼켰어요.
PA_0002-278-01-03-M-07-A.wav,80.0,그만해 턱을 받을게 깨졌는지 너무 아파요,계단에 턱을 받은게 깨졌는지 너무 아파요.
PA_0002-279-01-03-M-07-A.wav,97.78,머리만 아팠고 다른 데는 다 이상 없어요,머리만 아팠고 다른 데는 다 이상 없어요.
PA_0002-280-01-03-M-07-A.wav,91.8,오전 중에 뒷차가 차를 박았는데 그 이후로 몸이 아파요,운전 중에 뒤차가 차를 박았는데 그 이후로 몸이 아파요.
PA_0002-281-01-03-M-07-A.wav,97.14,무리하지 않는 선에서는 괜찮아요,무리하지 않는 선에서는 괜찮아요.
PA_0002-282-01-03-M-07-A.wav,96.0,송곳에 왼손을 찔렸어요,송곳에 왼손을 찔렸어요.
PA_0002-283-01-03-M-07-A.wav,66.67,아니요 옥 전체 6,아니요. 목 전체요.
PA_0002-284-01-03-M-07-A.wav,52.63,병원 오기 직전에 37.5도 써요,병원오기 직전에 삼십칠점오 도였어요.
PA_0002-285-01-03-M-07-A.wav,77.78,앞니가 그래요,여기 앞니가 그래요.
PA_0002-286-01-03-M-07-A.wav,91.43,식도에 정맥류 생길 것 아닌가요,식도에 정맥류 생긴 것 아닌가요?
PA_0002-288-01-03-M-07-A.wav,86.36,보다가 코뼈가 주저앉아서 피가 나네요,싸우다가 코 뼈가 주저 앉아서 피가 나네요.
PA_0002-290-01-03-M-07-A.wav,94.74,전혀 못 움직여요,전혀 못 움직여요.
PA_0002-291-01-03-M-07-A.wav,92.86,노출되는 피부마다 그래요,노출되는 피부 마다 그래요.
PA_0002-292-01-03-M-07-A.wav,68.09,어깨가 움직이는게 힘들어요 아비까비,어깨가 움직이는 게 힘들어요. 마비 까진 아니어도.
PA_0002-293-01-03-M-07-A.wav,94.12,왼쪽 발로 걷는게 힘드니까 반대쪽 발도 아파요,왼쪽발로 걷는 게 힘드니까 반대쪽 발도 아파요.
PA_0002-294-01-03-M-07-A.wav,95.24,위가 쥐어 짜지는 것처럼 아파서 왔어요,위가 쥐어짜지는 것처럼 아파서 왔어요.
PA_0002-295-01-03-M-07-A.wav,97.92,왼쪽 팔이랑 다리에 문제가 있는 것 같아요 힘이 빠지는 것만 같은 느낌이 자주 들어요,왼쪽 팔이랑 다리에 문제가 있는 것 같아요. 힘이 빠지는 것만 같은 느낌이 자주 들어요.
PA_0002-296-01-03-M-07-A.wav,97.78,아이가 몸을 가누다가 침대에서 떨어졌어요,아이가 몸을 가누다가 침대에서 떨어졌어요.
PA_0002-297-01-03-M-07-A.wav,78.57,달의 움직이는게 어색해요,다리 움직이는 게 어색해요.
PA_0002-298-01-03-M-07-A.wav,92.31,우울감이 심해서 많이 힘들어서 오게 되었어요,요즘 우울감이 심해서 많이 힘들어서 오게 되었어요.
PA_0002-299-01-03-M-07-A.wav,73.68,붓기 때문이에요,고환 붓기 때문에요.
PA_0002-300-01-03-M-07-A.wav,96.0,죽으려고 목을 맸습니다,죽으려고 목을 맸습니다.
PA_0002-301-01-03-M-07-A.wav,70.59,지그재그로 정강이 포인트탄 느낌이 들었어요,무언가 지그재그로 섬광이 보인듯한 느낌이 들었어요.
PA_0002-302-01-03-M-07-A.wav,87.72,너를 잘못 밟았나 봐요 발에서 피나요 따끔따끔하고,뭘 잘못 밟았나 봐요. 발에서 피나요. 따끔따끔하고..
PA_0002-303-01-03-M-07-A.wav,97.56,등이 아파서 똑바로 못 누워 있겠어요,등이 아파서 똑바로 못 누워 있겠어요.
PA_0002-305-01-03-M-07-A.wav,90.41,같은 달에 태어난 아이들보다 신화 몸무게가 덜 나가는 거 같아서요,같은 달에 태어난 아이들보다 키나 몸무게가 덜 나가는 것 같아서요.
PA_0002-306-01-03-M-07-A.wav,93.02,뭐가 불편한지 아기가 계속 울기만 해요,뭐가 불편한지 애기가 계속 울기만 해요.
PA_0002-307-01-03-M-07-A.wav,80.0,밤에 배 아프다고 울고불고,밤에 배 아프다고 울고불고 뒤척였어요.
PA_0002-309-01-03-M-07-A.wav,95.45,수면 무호흡증 있어서 입원하게 되었어요,수면 무호흡증이 있어서 입원하게 되었어요.
PA_0002-311-01-03-M-07-A.wav,96.97,드레싱 받아야 될 것 같아서요,드레싱 받아야 될 것 같아서요.
PA_0002-312-01-03-M-07-A.wav,98.51,영업직이 새로운 사람들을 많이 만나야 하는데 새로운 사람들을 만날 때마다 가슴이 두근거리고 많이 힘들어지게 되어 왔어요,영업직이라 새로운 사람들을 많이 만나야 하는데 새로운 사람들을 만날 때마다 가슴이 두근거리고 많이 힘들어지게 되어 왔어요.
PA_0002-313-01-03-M-07-A.wav,83.33,목이랑 어깨 부분이요,목 뒤랑 어깨 부분이요.
PA_0002-314-01-03-M-07-A.wav,98.36,왼쪽 팔과 다리에 힘이 쭉 빠지는 느낌이 자꾸 들어서요,왼쪽 팔과 다리에 힘이 쭉 빠지는 느낌이 자꾸 들어서요.
PA_0002-315-01-03-M-07-A.wav,91.43,잘 안 들리고 귀에서 소리가나요,잘 안들리고 귀에서 소리가 나요.
PA_0002-316-01-03-M-07-A.wav,94.25,제가 얼마 전부터 사타구니 종양 같은게 생겼거든요 너무 걱정돼서 병원에 왔어요,제가 얼마전부터 사타구니에 종양같은게 생겼거든요. 너무 걱정돼서 병원에 왔어요.
PA_0002-317-01-03-M-07-A.wav,75.86,아이가 소변 부리기 싫대요,아이가 소변보는 게 싫대요.
PA_0002-318-01-03-M-07-A.wav,96.55,뱀이 왼쪽 손목을 물었어요,뱀이 왼쪽 손목을 물었어요.
PA_0002-319-01-03-M-07-A.wav,95.35,최근 한 달 전부터 어지럼증이 심해져서 길 가다가도 다리에 갑자기 힘이 풀리는 경우가 많아요 직장에서도 화장실 가다가 갑자기 픽 쓰러질 것도 많고요 저혈압이라 그런가 싶어서 몸에 좋은 건 다 먹어 봤는데 소용없어 오게 됐어요,"최근 한 달 전부터 어지럼증이 심해져서, 길 가다가도 다리에 갑자기 힘이 풀리는 경우가 많아요. 직장에서도 화장실 가다가 갑자기 픽 쓰러진 적도 많고요. 저혈압이라 그런가 싶어서 몸에 좋은 건 다 먹어 봤는데, 소용없어서 오게 됐어요."
PA_0002-320-01-03-M-07-A.wav,95.15,이번에 직장 건강 검진을 했는데 가슴 사진에 폐에 음영이 보인다고 큰 병원 가보라고 해서 왔어요,이번에 직장건강검진을 했는데 가슴사진에 폐에 음영이 보인다고 큰 병원 가보라고해서 왔어요.
PA_0002-321-01-03-M-07-A.wav,97.96,밤새 배가 아프다며 뒤척이며 잠을 못 잤어요,밤새 배가 아프다며 뒤척이며 잠을 못 잤어요.
PA_0002-322-01-03-M-07-A.wav,91.43,소변을 너무 자주 보러 가요 10분째 한 번씩 갈 때도 있어요,소변을 너무 자주 보러 가요. 십 분째 한 번씩 갈 때도 있어요.
PA_0002-323-01-03-M-07-A.wav,96.77,아무리 노력해도 안 움직여요,아무리 노력해도 안 움직여요.
PA_0002-324-01-03-M-07-A.wav,97.14,개가 물었는데 감염된 것 같아요,개가 물었는데 감염된 것 같아요.
PA_0002-325-01-03-M-07-A.wav,85.29,나이가 또래에 비해 기도하신 크고 그래서 혹시나 해서 왔어요,아이가 또래에 비해 키도 훨씬 크고 그래서 혹시나 해서 왔어요.
PA_0002-326-01-03-M-07-A.wav,95.52,틀 전부터 아픈데 특히 기침할 때 따끔따끔 아픈 것 같아요,이틀 전부터 아픈 데 특히 기침할 때 따끔따끔 아픈 것 같아요.
PA_0002-327-01-03-M-07-A.wav,75.86,물질 않고 되직한 토했어요,묽진 않고 되직한 토였어요.
PA_0002-328-01-03-M-07-A.wav,96.55,가슴 통증이 심해서 왔어요,가슴 통증이 심해서 왔어요.
PA_0002-329-01-03-M-07-A.wav,92.06,몸 여기저기가 건조하고 가렵다 못해 그렇게 되어서 왔어요,몸 여기저기가 건조하고 가렵다 못 해 붉게 되어서 왔어요.
PA_0002-330-01-03-M-07-A.wav,93.62,골목에서 차가 튀어나오는 바람에 놀라서 뒤로 자빠지는 꼬리뼈 부분을 다친 것 같아요,골목에서 차가 튀어나오는 바람에 놀라서 뒤로 자빠지면서 꼬리뼈 부근을 다친 것 같아요.
PA_0002-331-01-03-M-07-A.wav,62.5,저기 부었네요,왼쪽이 부었네요.
PA_0002-333-01-03-M-07-A.wav,93.33,똥침을 당했는데 너무 아파요,똥침을 당했는데 너무아파요.
PA_0002-334-01-03-M-07-A.wav,93.62,고열은 아니고 위열이 좀 있는 것 같았어요,고열은 아니고 미열이 좀 있는 것 같았어요.
PA_0002-335-01-03-M-07-A.wav,98.25,얼굴이랑 목이 너무 가렵고 긁다 보니 피까지 나서요,얼굴이랑 목이 너무 가렵고 긁다 보니 피까지 나서요.
PA_0002-336-01-03-M-07-A.wav,71.7,네 오기 전에 쟀을 때 38.3도 나왔어요,"네. 오기 전에 쟀을 때, 삼십팔점삼 도 나왔어요."
PA_0002-338-01-03-M-07-A.wav,88.89,양쪽이 다 저리고 특히 왼쪽은 감각이 없는 것 같아요,네. 양쪽이 다 저리고요. 특히 왼쪽은 감각이 없는것 같아요.
PA_0002-339-01-03-M-07-A.wav,80.0,때문에 왔습니다,어깨 때문에 왔습니다.
PA_0002-340-01-03-M-07-A.wav,97.3,소화도 안 되고 음식도 안 넘어가서 며칠째 밥을 제대로 못 먹었어요,소화도 안되고 음식도 안 넘어가서 며칠째 밥을 제대로 못 먹었어요.
PA_0002-341-01-03-M-07-A.wav,81.25,대략 30분 후인 것 같아요,대략 삼십 분 후인 것 같아요.
PA_0002-342-01-03-M-07-A.wav,94.55,다리가 아픈지 좀 됐는데 약을 먹어도 안 나와서요,다리가 아픈지 좀 됐는데 약을 먹어도 안 나아서요.
PA_0002-343-01-03-M-07-A.wav,87.8,각각 힘이 다르게 들어가기는 해요,다리에 각각 힘이 다르게 들어가기는 해요.
PA_0002-344-01-03-M-07-A.wav,64.52,술 먹고 엄청 토하더니 정신을 못 차려요,술먹고 엄청 토하더니 정신을 못차려서요 일일구에 연락했더니 일로 왔어요.
PA_0002-345-01-03-M-07-A.wav,0.0,[음성 인식 실패: 이해할 수 없는 음성],왼쪽입니다.
PA_0002-346-01-03-M-07-A.wav,90.32,고양이가 떼거지로 달려들었,고양이가 떼거지로 달려들었어요.
PA_0002-347-01-03-M-07-A.wav,97.44,배가 너무 꼬이듯이 아파서 힘들어요,배가 너무 꼬이듯이 아파서 힘들어요.
PA_0002-348-01-03-M-07-A.wav,97.96,아침마다 심장이 너무 빨리 뛰어서 입원했어요,아침마다 심장이 너무 빨리 뛰어서 입원했어요.
PA_0002-349-01-03-M-07-A.wav,98.55,자꾸 트림을 하는데도 시원해지는 느낌 없이 속이 불편하더라고요,자꾸 트림을 하는데도 시원해지는 느낌 없이 속이 불편하더라고요.
PA_0002-350-01-03-M-07-A.wav,90.91,또 쓰리고 배도 아픈게 뭘 잘못 먹은 것 같아요,속도 쓰리고 배도 아픈 게 뭘 잘못 먹은 것 같아요.
PA_0002-351-01-03-M-07-A.wav,96.15,책상에 앉아 있다가 뜨거운 물을 다리에 쏟았어요,책상에 앉아있다가 뜨거운 물을 다리에 쏟았어요.
PA_0002-352-01-03-M-07-A.wav,62.5,머리 안 잡혀요,열이 안잡혀요.
PA_0002-353-01-03-M-07-A.wav,98.59,이틀 전부터 말할 때나 기침할 때나 숨 좀 크게 쉴 때 아팠어요,이틀 전부터 말할 때나 기침할 때나 숨 좀 크게 쉴 때 아팠어요.
PA_0002-354-01-03-M-07-A.wav,92.31,왼쪽 아랫니 봐 주실래요,왼쪽 아랫니 봐주실래요?
PA_0002-355-01-03-M-07-A.wav,96.0,혈당이 너무 올랐습니다,혈당이 너무 올랐습니다.
PA_0002-356-01-03-M-07-A.wav,95.45,강아지에서 다리를 물려서 피가 계속나요,강아지에서 다리를 물려서 피가 계속 나요.
PA_0002-357-01-03-M-07-A.wav,97.73,안녕하세요 오늘 아침에 아들이 침대에서 떨어졌는데 계속 아프다고 해서 왔습니다,안녕하세요. 오늘 아침에 아들이 침대에서 떨어졌는데 계속 아프다고 해서 왔습니다.
PA_0002-358-01-03-M-07-A.wav,88.0,파상풍 걸릴 것 같아요,파상풍 걸린 것 같아요.
PA_0002-359-01-03-M-07-A.wav,90.32,아이가 아직 목을 못 가네요,아이가 아직 목을 못 가눠요.
PA_0002-360-01-03-M-07-A.wav,97.96,성기 부분이 간지럽고 수포가 잡혀서 왔습니다,성기 부분이 간지럽고 수포가 잡혀서 왔습니다.
