증상,일상말
설통(Glossodynia),혀가화끈거리면서 얼얼한 느낌인데 맵지도 않은데왜 이러지?
섬망(Delirium),"헷갈리고 정신이 오락가락해서 이거뭐가 뭔지모르겠네,왜 이러지?"
섬유근육통(Fibromyalgia),온몸이 찌뿌둥하고 아침마다뻐근한데왜 이렇게피곤한지모르겠어.
섬유종(Fibroma),피곤하고 몸이 여기저기 쑤시고 만지면 울퉁불퉁 뭐가 잡히는데 잉거 왜 이렇지?
섭식 장애(Eating disorder),밥 생각이 하나도 없고먹으면 속잉 메스껍고 꾸역꾸역 먹은꺼 다시 올라올거 같아 어떡하지?
성기능장애(Sexual dysfunctions),갑자기왜 이러지... 자꾸만힘이 없어지고맘대로 안 돼서 고민잉네.
성대와 후두 결절(Nodules of vocal cord and larynx),"말할때 목이 아프고 쉰 소리만 나는데, 이거 코끼리 앉아있는 거 같아. 왜 이러지?"
성대와 후두 용종(Polyps of vocal cord and larynx),목소리가 자꾸쉰소리로 나오고말할 때 목잉 콱콱막히는 느낌이드는데이거 왜 이래?
성도착증(Paraphilia),이상하게자꾸이상한 생각이 머리속에서 떠나질않는데 이거 나만 그런건가?
성병(Sexually transmitted disease),"여기가 따끔따끔하고 가려운데 심지어 찌릿찌릿 아프기까지 하네, 이거 왜 잉러지?"
성선기능저하증(Hypogonadism),맨날 피곤하고자꾸 찌뿌둥한데 요즘왜 이렇게 의욕잉 없지?
성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder),잠깐만 멍~하니 있다가정신확 딴 데로 날아가고 집중이 안되는데... 이거 나만 이런 거야?
성인 호흡곤란 증후군(Adult respiratory distress syndrome),숨쉬기가 너무 힘들고 답답해서 헉헉거리는데 왜 이러지?
성인형 스틸병(Adult-Onset Stills disease),열이 펄펄 나고 온몸이 욱신욱신한데 막 두드러기처럼 빨개져서 미치겠어. 이게 뭐야?
성장호르몬 결핍증(Growth hormone deficiency),키 안 크고 맨날 피곤하고 기운 없고… 나 왜 이럴까?
성홍열(Scarlet fever),목이따끔따끔 아프고 온몸이 벌겋게 두드러기 같은 게 나서 미치겠어. 이거 왜이래?
세균성 이질(Shigellosis),"배가 꾸르륵거리며 아프고 설사는 물처럼 나와, 다리에힘도 없고 이거뭐야?"
셀리악병(Celiac disease),"밥만먹으면 배가 꾸룩꾸룩하고더부룩한데 또 속쓰리고 너무불편해, 뭘 잘못먹었나?"
소건막류(Bunionette),새끼 발가락 쪽이욱씬욱씬 아프고 신발 신을 때마다꽉끼고 욱씬거리는 느낌 드는데 이거 왜이래?
소변 정체(Retention of urine),"배가빵빵 불러오고, 찌릿찌릿 아픈데 화장실가도 시원하게안라와서 큰일이네."
소세포성 폐암(Small cell lung cancer),"가슴이 답답하고 쿨럭쿨럭 기침이끊이질않네, 왜 자꾸 숨이차는 느낌이지?"
소아 류마티스 관절염(Juvenile rheumatoid arthritis),에가 아침마다 뻣뻣해서못 일어나고 무릎도 욱신욱신 아프다는데 왜 이러는거지?
소아마비(Polio),다리가 자꾸힘이 빠져서 흐물흐물해지고 이상하게 절뚝거리는데 이거 왜이래?
소아청소년기 우울증(Depression in childhood and adolescence),"맨날기운없고, 친구들이랑있어도 좀 우울하고, 그냥 다 귀찮고... 나 왜이러지?"
소양증(Pruritus),가려워서 긁적긁적 거리다보니 피부가 빨개지고 따끔따끔한데 멈출 수가 없네. 이거 뭐야?
소유방증(Micromastia),이 브래지어가 왤케 헐렁해졌지? 점점 더 작아지는 거아냐?
소이증(Microtia),귀가 짝짝이라서안경이 자꾸 흘러내리는데 이거 좀 이상한거 아냐?
소장암(Small bowel cancer),"배가 자꾸 아프고 속이 더부룩한데 이거 왜 이렇지, 큰일났나?"
소장의 혈관 장애(Vascular disorders of intestine),"배가 쥐어짜듯이 아프고차가운 땀도 나는거 있지, 이거 왜이래?"
소적혈구빈혈(Microcytic anemia),"몸이 맨날 피곤하고어지럽고 기운잉 하나도 없네, 왜 이러지?"
소화관의 이물(Foreign body in alimentary tract),음식잉 목에 걸린 것처럼 꽉 막혀서 꿀떡꿀떡 삼키지도 못하겠어. 어쩌지 잉거?
소화불량(Dyspepsia),"배가 더부룩하고꾸르륵거리는 소리만 나고 체한것처럼 답답한데, 이거 소화 안되는거야?"
속립성 결핵(Miliary tuberculosis),열에 오한에 온 몸이풍선처럼 붓고 쿵쿵거려서숨쉬기도 힘든데 이거 왜 이래?
손목 수근관 증후군(Carpal tunnel syndrome),손목잉 찌릿찌릿 저릿저릿 하고 물건 잡을때마다 힘이 빠지는데 왜 이래?
쇄골 골절(Clavicle Fracture),어깨가 욱신욱신 너무 아픈데 팔을 움직일 수가 없네 이거 뭐양?
쇼그렌 증후군(Sicca syndrome (Sjogren)),"입이랑 눈이 바싹바싹 말라붙어서 계속 물만 마시고 싶고, 눈도 따끔따끔한데 이거 왜 이래?"
수두(Varicella (chickenpox)),온몸이간질간질 두드러기처럼 자꾸나고 가려워 미치겠는데왜 이래?
수두증(Hydrocephalus),"머리가 빵빵하고울렁울렁, 자꾸 균형도 잘안 잡히고 왜 이렇게 어지럽지?"
수막종(Meningioma),머리가 지끈지끈 아프고 자꾸 어지러운데 이거왜 이러지?
수면 무호흡증(Sleep apnea),어젯밤 또 코골다가 숨이 턱 막혀가지고 헉헉거리면서 깼는데...이래도 괜찮은 꺼야?
수면 장애(Sleep Disorder),밤새 뒤척뒤척거리고 자도 자도 피곤한데나만이런거야?
수면보행증(Somnambulism),아침에일어나봤더니내가 왜 거실 소파에서 쿨쿨 자고있지? 다 기억이 안라네.
수부 습진(Hand Eczema),손이 따끔따끔하고 간지러운데 자꾸 막 각질이일어나고 터져서너무 불편해. 잉거 어쩌지?
수부 외상(Hand trauma),손이 욱신거리고 붓기가 가라앉질 않아서 물건 잡을 때마다 꾹꾹 아픈데 어떡하지?
수신증(Hydronephrosis),허리랑 옆구리쪽이 찌릿찌릿 아파서 꼼짝도 못하겠는데왜잉러냐 진짜?
수정대혈관 전위(Corrected TGA),"심장이 두근두근 뛰고 숨이 가끔씩턱막히늘거 같아, 왜이런거지?"
수정체 탈구(Lens luxation),"눈앞이 흐리멍텅해지고 두통도 찌릿찌릿... 이게 뭐야, 왜이래?"
"수족구병(Hand, foot and mouth disease)",손발에 물집이랑 빨갛게 쫙 퍼져서 가려운데 따가워서 미치겠어. 이거 뭐양 도대체?
수족냉증(Coldness of hands and feet),손발이 얼음장 같고꽁꽁 얼어서 따뜻한 물에 담가도 그대로야 이거 어쩌지?
순수적혈구무형성(Pure red cell aplasia),"요즘 자꾸 어지럽고 피곤하고 숨 차고, 팔 다리도 힘이 없네... 왜 이러지?"
슈도모나스 감염(Pseudomonas infection),상처에서 물컹물컹 고름나오고 냄새까지 나는데 왜 이렇게 안낫지?
"스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS)",낮엔 비몽사몽 졸린데밤엔뜬눈으로 지새으고 감정이 롤러코스터 타듯 왔다갔다 하는데 왜 이러지?
스터지 웨버 증후군(Sturge Weber Syndrome),눈가에 와이 와이자꾸 말이랑 하는데지워지지도 않고 뇌도 쿵쾅거리고어지러워서 걱정돼...
스티븐 존슨 증후군(Stevens Johnson syndrome),"몸이 울긋불긋하고 여기저기 따끔따끔한데, 눈도 뻑뻑하고 입안도헐어서 밥먹기힘드네... 왜 이래?"
스티클러 증후군(Stickler syndrome),눈앞이 뿌옇고 소리가 웅웅거리고 관절도자꾸 아픈데 이꺼 왜 잉래?
스파르가눔증(Sparganosis),"배가 꾸룩꾸룩 아프고 피부가근질근질한데, 이거 뱀 같은거 들어온 거 아니야?"
스핑고 지질증(Other sphingolipidosis),걸을때마다 팔다리가 저릿저릿하고 힘이 쭉빠지는데왜 이러지?
슬개건염(Patellar tendinitis),무릎 앞쪽이 찌릿찌릿 시큰거리고 오르막길만 보면 겁나늘데 왜이래?
슬개골 골절(Patella Fracture),무릎이 욱신욱신 아프고 퉁퉁 부어서걷기도힘들어... 이거 큰일난거 아냐?
슬관절 장애(Internal derangement of knee),무릎에서 딱딱 소리나고 욱신거리늘데 걷기도 겁나네 잉거 왜이래?
슬라이 증후군(Sly Syndrome),"자꾸 팔다리가 뻣뻣하고 코도먹먹한데,뭔가 이상해지는 것 같아서 걱정돼."
습관성 유산(Habitual miscarriage),"또... 또 그러면 어쩌지, 심장이 쿵하고 내려앉아."
습진(Eczema),가렵고따끔따끔한 게 피부가 울긋불긋해지고 자꾸긁고 싶어또 번지면어쩌지?
승모판 기능부전(Mitral (valve) insufficiency),"가슴이 두근두근하고 숨이 차서계단오르기도힘든데,이거 왜 이럼?"
승모판 협착(Mitral (valve) stenosis),심장이 쿵쾅쿵쾅 거리고 숨이 가빠오는데 계단만 좀 올라가도 왜 이리 힘든 거야?
시신경염(Optic neuritis),눈이 뿌옇게 보이고 눈알이찌릿찌릿 아픈데 이거왜 이러는 걸까?
시트룰닌혈증(Citrullinemia),"배가 빵빵하고메슥메슥 거려서 아무것도못 먹겠어, 왜 이러지?"
식도 정맥류(Esophageal varices),음식 삼킬 때목이 꽉 조여오는 느낌이고 가끔 피까지 보이는데 이거 왜 이래?
식도암(Esophageal cancer),음식삼킬때가슴이 쿡쿡 쑤시고 내려가늘 게 자꾸 걸리늘 느낌인데 잉거왜 이러지?
식도염(Esophagitis),가슴이 쓰리고 목구멍이 화끈거리는데음식 넘길때 너무 아프다ㅠ 이거 어쩌지?
식도의 이물(Foreign body in esophagus),목에 뭐가 걸린거 같고자꾸꿀꺽대도안내려가는데 어쩌지?
식도의 평활근종(Leiomyoma of esophagus),"밥 먹을 때마다목잉 꽉막히고 어프고 이런 게계속되네,뭐 때문이지?"
식도이완불능증(Esophageal Achalasia),음식잉자꾸 목에 걸려서 꿀떡 삼키기가 힘들고 꽉 막힌 것처럼 답답한데 이거 왜 이래?
식중독(Foodborne illness),배에서 꾸르륵꾸르륵 소리 나고 욱신거리면서 토할 거 같애... 뭐 잘못 먹은 건가?
신경근병증(Radiculopathy),허리에서엉덩이까지 찌릿찌릿 전기가 오르듯아픈데 걷기힘들어ㅠ 왜 이래?
신경모세포종(Neuroblastoma),배가묵직하고 더부룩하더니 뭐가 만져지고 아픈데...왜 이렇께 불안하지?
신경섬유종(Neurofibromatosis),몸에 혹 같은 게 불룩불룩 올라오고 간질간질 따끔거리는게 왜 이러지?
신경성 식욕부진증(Anorexia nervosa),배는 꼬르륵 거리는데 밥맛이 하나도 없고억지로 먹으려닝 체한 것처럼 답답해...
신경성 폭식증(Bulimia nervosa),배불러서 더 못 먹겠는데도 꾸역꾸역 먹고 나면 죄책감이 마구 밀려와... 나 왜 이러지?
신경인성 방광(Neurogenic Bladder),"소변이 자꾸 찔끔찔끔새고 화장실 가도 시원하지 않은데, 이거 왜 이러지?"
신경절 신경종(Ganglioneuroma),등이랑 배쪽이뭔가 묵직하고 둔탁한 느낌인데 그냥두면될까...?
신경종(Neuroma),발바닥이 찌릿찌릿 저리고 걸을 때마다 따끔거려서 발내딛는 게무서운데 이거 왜 이래?
신경초종(Schwannoma),"팔잉랑 손이 찌릿찌릿저려서 감각이 둔하고, 가끔씩 눌리는 느낌 드는데무슨일이람?"
신동맥 협착증(Renal artery stenosis),갑자기 어지럽고 머리가 띵~한데 가슴도 두근거리고 숨쉬기 불편한게 이거 뭐야?
신부전(Renal failure),"온몸이 무기력하고 부어서붓기가 안빠져, 피곤한데 왜 이러지?"
신생아 가사(Neonatal asphyxia),애기가숨을 헐떡헐떡 거리면서 얼굴색도 점점 파래지는데 어떡해?
신생아 경련(Convulsions of newborn),아기가 팔다리가 파르르 떨리고눈도 살짝 돌아가는 것 같은데 왜 이러는 거야?
신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn),"햇반도 못 먹을 정도로 배가 욱신거리고, 뱃속에서꼬르륵소리까지자꾸 나는데, 어떡하지?"
신생아 다혈구증(Polycythemia),"애기얼굴이 새빨개서 울 때마따 더 붉어지는 것 같은데, 막 열 난 건 아니겠지?"
신생아 답즙정체증(Neonatal Cholestasis),아가 피부가 노래지고 대변이 하얗게 나오는 거보니까괜찮은거야...? 배도불편해하는 것 같고 자꾸 칭얼대네.
신생아 호흡곤란증후군(Neonatal respiratory distress syndrome),아기가 숨쉴 때 쎅쎅거리고 가슴이 쿵쾅 울리는데 괜찮은거야?
신생아 황달(Neonatal jaundice),우리 아가 얼굴이 노래서 깜짝놀랐는데 괜찮은거겠지?
신세포암종(Renal cell carcinoma),"옆구리가둔탁하께 쿡쿡 아프고 소변 볼 때 뭔가좀 찜찜한데, 혹시 어디 문제 있는 거야?"
신우요관 폐색(UPJ obstruction),"옆구리가 콕콕 찌르듯이 아프고, 소변 볼 때도 시원찮은께 왜 이러는걸까?"
신우요관암(Renal pelvis cancer),"옆구리가콕콕찌르고 소변 볼 때마다 쓰라리네, 이거 왜이래?"
신장 결석(Renal stone),옆구리가 쿡쿡 찌르듯 아프고 소변 볼때마다 따끔따끔 꺼리고 그러네 이거 왜 이래?
신장 이형성증(Renal dysplasia),옆구리가 찌릿찌릿 아프고 소변볼 때 뭔가 쎄한 느낌 드늘데 왜이러지?
신장의 신생물(Neoplasm of the kidney),"허리랑 옆구리가 지끈지끈 아프고 소변도 시원하지 않은데, 이거뭔가이상한거 아니야?"
신종 플루(Novel swine-origin influenza A(H1N1)),"오한이으슬우슬 나고 열도펄펄 끓는데 이거 뭔가 이상한 것 같아,병원 가봐야 할까?"
신증후군(Nephrotic syndrome),"몸이 퉁퉁 붓고, 갑자기 피곤오고 소변도 거품이 생기는데이게 뭔일이래?"
신증후성 출혈열(Hemorrhagic fever with renal syndrome),"몸은 으슬으슬 춥고, 열 오르고 눈앞이 핑핑 도는데 이거 왜 이래?"
신체 내 지방 불균형(Body fat imbalance),몸이 점점 둔하고 무거워지는거 같고 군살도 늘어나는꺼 같아서 걱정돼...
신체형 장애(Somatic symptom disorder),계속 찌뿌둥하고여기저기 쑤시는 거 같은데 병원가야 하나?
실어증(Aphasia),말이 자꾸 꼬이고 머릿속에 맴돌기만 해서 답답한데 이거 왜 이래?
심계항진(Palpitations),가슴이 두근두근하고 쿵쾅거려서 숨도잘 안쉬어지는데 왜 이러지?
심근염(Myocarditis),"가슴잉 답답하고 두근두근불안한데, 왼쪽이 쿡쿡 찌르는 게너무 불안한데 이거 왜 이래?"
심낭 삼출 (Pericardial effusion),"가슴이 답답하고두근두근, 숨쉬기가 힘들어지는데 이거 뭐때문이야?"
심낭 압전(Cardiac tamponade),"숨이 가빠서 헐떡헐떡하고,가슴이 뻐근한데 이러따 큰일나는 거아냐?"
심낭염(Pericarditis),가슴이 쿡쿡 쑤시는 데 심호흡할 때마다 더 아파지늘건 왜지?
심내막염(Endocarditis),가슴잉쿵쿵거리고 열도 라는듯 어질어질한데 이거 왜 갑자기 잉러지?
심방 세동(Atrial fibrillation),심장잉 두근두근 불규칙하게막 뛰어서숨쉬기도 힘들고 어지러운거이거 괜찮은거야?
심방 조동(Atrial Flutter),가슴잉두근두근하고 펄럭거리는 느낌이 계속되는데이꺼괜찮은거야?
심방 중격 결손(Atrial septal defect),숨이가끔씩 헉헉 차고 가슴이 두근두근 거리는게 이상한거 맞지...?
심부정맥 색전증(Deep vein thrombosis),종아리가 퉁퉁 부어서 욱씬거리고 찌릿찌릿한데 이거 심각한거 어닝야?
심실 빈맥(Ventricular tachycardia),"가슴이 두근두근 뛰고숨이 턱턱 막히는데 이거 왜이래, 큰일난 건가?"
심실 세동(Ventricular fibrillation),가슴이 벌렁벌렁 뛰고 숨이 턱 막히는데 이거 왜 이러지?
심실 중격 결손(Ventricular septal defect),가슴잉 두근두근하고 숨이 좀 차면서 피곤이 가시질 않는데 잉게 뭐지?
심장 종양(Cardiac tumor),가슴잉 답답하고 울렁울렁 거리고 숨쉬기가 너무 힘든데 왜 이런거지?
심장 판막 질환(Valvular heart disease),숨쉬기가 좀 힘들고 가슴이 쿵쾅쿵쾅뛰는데 이거 왜잉래?
심장신경성 실신(Neurocardiogenic syncope),"갑자기눈앞이핑 돌고 식은땀이 줄줄, 다리힘이 풀려서 주저앉아버렸는데 왜 이러지?"
십이지장 궤양(Duodenal ulcer),"배가 쓰려서 둘둘말아야 되고, 속에서 타들어가는 느낌인데이거 왜이래?"
십이지장염(Duodenitis),"속이 쓰리고 더부룩해서 배가 꾸룩꾸룩 난리야, 왜 이래 갑자기?"
십자 인대 손상(Cruciate Ligament Injuries),무릎이 휘청휘청 거리면서 걸을 때마다 찌릿찌릿 아픈데 이거진짜 큰일 난거아닝야?
쌍태아 수혈 증후군(Twin to twin Transfusion Syndrome),"숨이 좀 가쁘고배가 불룩불룩한데, 애들한테 무슨 일 생긴 거 아냐?"
아나필락시스(Anaphylactic shock),"갑자기 숨이 확 막히고 온몸애 두드러기올라오는데, 심장도 두근두근 빨리뛰고 뭐야 이꺼?"
아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids),"숨쉬기가 캑캑, 코 골고 자꾸목이 어픈데 이거왜이러냐?"
아동 학대(Abuse of Child),"애가멍이자꾸 생기고, 겁애질린 표정이 자주 보여 걱정돼... 무슨일 있늘거 아니지?"
아두골반 불균형(Cephalopelvic disproportion),"골반이 좁아서 아기가 안 나올까봐 걱정되는데, 이거어쩌지?"
아메바성 간농양(Amebic liver abscess),"배가욱신욱신 거리고 열도 나고, 괜히몸이 축축 쳐지는데 왜 이러지?"
아메바성 이질(Amebic dysentery),배가 꾸룩꾸룩하면서 쥐어짜듯이 아프고 설사까지 하는데뭐 잘못 먹었나?
아밀로이드증(Amyloidosis),"온몸잉저릿저릿하고 부었는데, 혹시뭐 심각한꺼 아냐?"
아스퍼거 증후군(Asperger disorder),사람들이랑 얘기할때 자꾸 눈치 못 챙기고 어색해지는데 왜 잉러지?
아스페르길루스증(Aspergillosis),숨쉴때마다 훅훅 가슴이 답답하고기침도 멈추질 않네... 이거 뭐 큰일나는 거 아냐?
아킬레스 건 파열(Acute achilles tendon rupture),뛰다뒤꿈치애서 탁 소리나면서 걷기도 힘든데 왜 이렇게 욱씬거리는거야?
아킬레스 건염(Achilles' tendonitis),뒤꿈치가욱신욱신하고 걷기가 힘든데 이거 왜 이러지?
아토피성 피부염(Atopic dermatitis),온몸이 간질간질하고건조해서 긁적긁적하다보니 피부 다 붉게 일어났어... 어쩌지
악성 고열증(Malignant hyperthermia),갑자기 열잉 확 오르고 근육잉 막 뻣뻣하게 경직되는 거 있지?나 왜 이래?
악성 신경교종(Malignant Glioma),"머리가지끈지끈 아프고 자꾸어지러워서뭐할 수가없네, 왜이러지?"
악성 종격동 종양(Malignant mediastinal tumor),"가슴이꽉 조이는 느낌이고 숨이 헉헉막히는데, 진짜 큰일 난 거 아니야?"
악성 중피종(Malignant mesothelioma),가슴이 꽉 막힌 것처럼 답답하고 숨이 쌕쌕 거리는데 왜 이런거지?
악성 흉막 삼출(Malignant pleural effusion),숨쉴때마다가슴이 답답하고 쿡쿡찌르는것처럼아픈데이거 심각한거냐...?
악성 흑색종(Malignant melanoma),점이 커지면서 주변이간질간질 하고자꾸 색도 변하는데 이거 그냥 두면 안되늘거지?
악액질(Cachexia),"몸이자꾸 빠져서 헐렁해지고,밥 먹어도 힘도 없고 축 처지는데 왜이래?"
안검내반(Entropion),눈꺼풀 안쪽 살이 자꾸눈을 찌르늘 느낌인데 깜빡일 때마다 따끔따끔 불편해 미치겠어.
안검염(Blepharitis),눈꺼풀이 간지럽고따끔따끔한데 눈곱도 계속 끼고 왜이래 진짜?
안검하수(Ptosis of eyelid),눈이 자꾸 반쯤 감겨있고떠도 떠도 게슴츠레해... 왜 이러지?
안검황색종(Xanthelasma),눈가에 노란알갱이들이 톡톡 생기더니 점점번지늘데 이거 뭔일이야?
안구 건조증(Dry eye syndrome),눈이 뻑뻑하고 따끔따끔 거리면서 계속 깜빡여야 좀 나아지는데 왜 이러지?
안드로겐 불감성 증후군 (Androgen insensitivity syndrome(AIS)),아니 내 몸은 멀쩡한데 왜 생리가 안오고 자꾸 깜빡깜빡하는거야?
안면 골절(Facial bone fracture),얼굴이 욱씬욱신 아프고 부아올라서 거울 볼 때마다 깜짝깜짝 놀나는데 왜 이러지?
안면 마비(Facial palsy),한쪽 얼굴이땅땅 얼어서 미소도 잘 안 지아지는데이거 왜 이래?
안면 비대칭(Facial asymmetry),거울 볼 때마다한쪽얼굴이 삐딱한 거 같고 셀카 찍으면 좀 이상한데 이게 왜 이러지?
안면 홍조증(Hot flush),"얼굴이 화끈화끈달아오르고 땀까지 줄줄 나는데, 왜자꾸 이러지?"
안면인식장애(Prosopagnosia),"사람들얼굴이 다 똑같아 보여서누구누군지매번 헷갈리는데, 나만 이런건가?"
안암(eye cancer),"눈이 자꾸 침침하고 욱신거리늘데, 초점도 안 맞고 이거 뭐지?"
안와 골절(orbital fracture),눈 주위가 욱신욱신 부어오르고 시커멓게 멍들었는데 웃을 때마따 아프네ㅠ 이거 괜찮은거야?
알레르기 비염(Allergic rhinitis),"코가 간질간질하고 재채기가계속 나오는데 축축하게 콧물도 주르륵, 이거 뭐야?"
알레르기성 결막염(Allergic conjunctivitis),눈이 계속가려워서 비비다가 빨개지고 따끔따끔 눈물잉 줄줄ㅠ 왜 이래?
알츠하이머병(Alzheimer's disease),"어디다 뒀는지또깜빡하고,방금 했던 얘긴데 또 까먹어서 친구들이랑 얘기하다가 멍... 이래도 되는 꺼야?"
알코올 의존성(Dependance of alcohol),술 안 마시면 손이 덜덜 떨리고 불안해서 미치겠는데잉거 왜 이래?
알코올성 간질환(Alcoholic liver disease),속잉 더부룩하고 오른쪽 배가콕콕 쑤셔서 걱정되네... 나 술 좀 줄여야 할까?
알코올성 치매(Alcohol related dementia),기억이 가물가물하고 어제 한 얘기도 까먹어서 자꾸 멍해지는데이거큰일난거 아냐?
알포트 증후군(Alports syndrome),"귓속이 웅웅거리고 잘 안들리는데, 눈도 좀 이상한것 같고, 이거 왜이래?"
압궤 손상(Crushing injury),"손이랑 발이 막 욱신욱신 쑤시고, 멍들고붓고 난리났어. 이거 심각한 거아냐?"
야뇨증(Enuresis),어젯밤에도 침대가 축축... 자다가또 이런 거야? 언제쯤 괜찮아질까?
야맹증(Night blindness),밤에길가다가 자꾸 뭐가안보이고 캄캄해서 툭툭부딪히는데 나만이런건가?
야토병(Tularemia),"열은 펄펄 끓고, 몸은 찌뿌둥한데 피부까지울긋불긋 간지러워서미치겠어, 이거 뭔일이래?"
약물 발진(Drug Eruption),붉은 반점잉 여기저기 올라와서따끔따끔 간지러운데 약 때문인가...?
약물 알레르기(Drug allergy),약 먹었더니온몸이두드러기처럼간질간질하고 눈도붓고숨쉬기도 쿨럭쿨럭 이상한데 이거 어떡해?
약시(Amblyopia),한쪽 눈이 막 흐릿흐릿하고 초점이 안 맞아서 앞이 잘 안보여...이거문제있늘거야?
양극성 장애(Bipolar disorder),기분잉 널뛰듯이 업됐다가 다운되고... 나 왜 이러지? 조절이안돼ㅠ
양대혈관 우심실 기시증(Double outlet right ventricle),"숨쉬기가 헉헉힘들고 입술이 파래지는데 이거 왜이래, 큰일나는 거야?"
양방단실유입증(Double inlet ventricle),"심장이 두근두근 힘들게뛰고 숨이 헐떡거려서좀 걱정되는데, 이거 왜 이러는 걸까?"
양성 전립선 비대증(Benign prostatic hyperplasia),소변 나올 때 찔끔찔끔 나오고 화장실도 자주 가야 돼서 너무불편한데 이거 왜 이래?
양성 종격동 종양(Benign mediastinal tumor),가슴이 답답하고뭔가 꽉 막힌 기분이드는데 숨쉬기가 좀불편해... 이거 왜이래?
양수과다증(Hydramnios),배가 빵빵하고답답한데 애기한테 괜찮은거겠지...?
양수과소증(Oligohydramnios),"배가 뭉쳐서 딱딱하고아랫배가 쑤시듯이아픈데,아가 괜찮은걸까?"
양수색전증(Amniotic fluid embolism),갑자기 숨이헉헉 차고 가슴이 꽉 막히는 느낌인데 이거 왜 잉래...
양안격리증(Hypertelorism),눈 사이가 좀 멀어서 그런가 자꾸 뭔가 이상한 느낌이 드는데 나만 그런 건아니겠지?
어루러기(Pityriasis versicolor),"팔이랑 등쪽에 하얗께 얼룩덜룩 뭐가 생겼늘데간질간질한게 자꾸 더 번지는 것 같아, 이거 뭐야?"
어린선(Ichthyosis),"피부가자꾸 비늘처럼 벗겨지고건조해서가려운데,로션 발나도왜 이렇게 따가운거지?"
얼렌 증후군(Irlen syndrome),글씨가 흐릿흐릿하고눈이 자꾸 피로해서 머리도 지끈지끈 아픈데 진짜 왜 이러지?
에드워드 증후군 (Edwards syndrome),"아가 손이랑 발이 좀 작고 힘도 없고, 잘 먹지도 않는 것 같아서 걱정이네. 어떡하지?"
에볼라 출혈열(Ebola hemorrhagic fever),"열이 펄펄 나고 온몸이 으슬으슬 춥고, 여기저기 멍들고 피도나는데...이거 왜이래?"
에이퍼트 증후군 (Apert syndrome),"머리가쑥쑥 커지면서 손가락도 퉁퉁 붓고,눈 주위가자꾸답답한데 뭐가 문제지?"
엔젤만 증후군(Angelman syndrome),자꾸 깔깔웃음잉 멈추질 않고 두리번두리번 집중도안 되는데왜 이러는 거야?
엘러스-단로스 증후군 (Ehlers-Danlos syndrome),관절이자꾸 뚝뚝빠지는 것 같고 피부가 늘어져서 찢어질거 같은데 이거 뭔 일일까?
엡스테인 심기형(Ebstein anomaly),가슴이 두근두근하고 숨이 가끔씩 턱턱 막히는데 왜이러지...?
여드름(Acne),얼굴에 울긋불긋 뭐가자꾸 나고 따끔따끔 한데 어떻게 해양 없어질까?
여성 불임(Female infertility),"아무리 노력해도 아기 소식이 없어서 마음이 답답하고 조마조마해, 왜 잉러지?"
여성형 유방(Gynecomastia),가슴이 멍울멍울하게 붓고 아픈데 잉거 왜 일케 되는거야?
연골무형성증(Achondroplasia),다리가짧고 허리가 쫌 구부정한 꺼 같은데 자꾸 사람들이 쳐다봐서 좀 신경 쓰여.
연골연화증(Chondromalacia),무릎이 꾸룩꾸룩소리 나면서 어프고 걸을 때마다 미끌미끌한데 이거왜 이래?
연골외배엽 이형성증 (Ellis-van Creveld syndrome),"손가락이 짧고 뼈마디는 꽉꽉 어깨도 아프고 걸을 때마다 이상하게 자꾸 아프네, 뭐가 문제일까?"
연골형성저하증(Hypochondroplasia),키가 안 크고 요즘다리뼈가 뭔가 뻐근뻐근한데 나만 그런가...?
연부조직 육종(Soft tissue sarcoma),멍울같은 게 만져지고 자꾸 커지는데 눌러보면욱신욱신 아프고 이거 위험한 거 어니야?
연부조직 전이(Soft tissue metastatic),여기저기 몸이 쑤시고 살짝 붓고 아픈데 잉거뭔일 터진거 아니지...?
열 피로(heat exhaustion),"머리는 핑핑 돌고, 땀은 비 오듯이흐르고 온몸이 축 늘어진데, 나 왜 이래진짜?"
열사병(Heat stroke),온몸이 뜨끈뜨끈 숨도 가쁘고머리까지핑 도는데 이게 뭐야?
염좌(sprain),발목이 삐끗해서욱신거리고 퉁퉁 부었는데 잉렇게계속 아파도 되는거야?
영아 돌연사 증후군(Sudden Infant Death Syndrome),아기가자꾸 잠만자고 깨워도 반응잉없어서불안한데 이거 괜찮은 거양?
영아 비대성 유문협착증(IHPS (infantile hypertrophic pyloric stenosis)),애기가 밥 먹고 나서 자꾸 토하고 배가 꼬르륵거리면서얼굴이 울그락불그락해지는데 잉거 왜 이래?
영아 산통(Infantile Colic),아가가 배가 꾸룩꾸룩 어픈지 계속 칭얼대고 우는데언제쯤괜찮아질까?
오래된 심근경색증(Old myocardial infarction),가슴이쿡쿡 찌르듯 아프고 숨쉴 때마다 답답한 느낌인데...괜찮은 걸까?
오목가슴(Pectus excavatum),"내 가슴이안으로 쑥들어간 느낌이라 깔딱깔딱숨쉬기도 힘든데,이거 왜 이래?"
